DrugBank_ID,PubChem_CID,SMILES
DB00418,5193.0,CCCC(C)C1(C(=O)NC(=O)NC1=O)CC=C
DB01054,4507.0,CCOC(=O)C1=C(NC(=C(C1C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OC)C)C
DB01233,4168.0,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl
DB01238,60795.0,C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl
DB01184,3151.0,C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCCN4C5=CC=CC=C5NC4=O
DB09065,25151504.0,CC(C)C1=NC(=CS1)CN(C)C(=O)NC(CCN2CCOCC2)C(=O)NC(CCC(CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)CC5=CC=CC=C5
DB00204,71329.0,CN(CCC1=CC=C(C=C1)NS(=O)(=O)C)CCOC2=CC=C(C=C2)NS(=O)(=O)C
DB00887,2471.0,CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2
DB04855,208898.0,CCCCC1=C(C2=C(O1)C=CC(=C2)NS(=O)(=O)C)C(=O)C3=CC=C(C=C3)OCCCN(CCCC)CCCC
DB09053,24821094.0,C=CC(=O)N1CCCC(C1)N2C3=NC=NC(=C3C(=N2)C4=CC=C(C=C4)OC5=CC=CC=C5)N
DB00482,2662.0,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F
DB00501,2756.0,CC1=C(N=CN1)CSCCNC(=NC)NC#N
DB00337,6509979.0,CCC1C=C(CC(CC(C2C(CC(C(O2)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C(CC1=O)O)C)C(=CC4CCC(C(C4)OC)Cl)C)O)C)OC)OC)C)C
DB01181,3690.0,C1CN(P(=O)(OC1)NCCCl)CCCl
DB00957,6540478.0,CCC12CCC3C(C1CCC2(C#C)OC(=O)C)CCC4=CC(=NO)CCC34
DB00470,16078.0,CCCCCC1=CC(=C2C3C=C(CCC3C(OC2=C1)(C)C)C)O
DB00871,5403.0,CC(C)(C)NCC(C1=CC(=CC(=C1)O)O)O
DB00542,5362124.0,CCOC(=O)C(CCC1=CC=CC=C1)NC2CCC3=CC=CC=C3N(C2=O)CC(=O)O
DB09282,5353788.0,CCOC(=NC1=C[N+](=NO1)N2CCOCC2)[O-]
DB00959,6741.0,CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O
DB01224,5002.0,C1CN(CCN1CCOCCO)C2=NC3=CC=CC=C3SC4=CC=CC=C42
DB04876,6918537.0,C1CC(N(C1)C(=O)CNC23CC4CC(C2)CC(C4)(C3)O)C#N
DB01021,5560.0,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)NC(N2)C(Cl)Cl
DB06203,11450633.0,CN1C(=O)C=C(N(C1=O)CC2=CC=CC=C2C#N)N3CCCC(C3)N
DB06480,3052762.0,COCCCN1CCC(CC1)NC(=O)C2=CC(=C(C3=C2OCC3)N)Cl
DB09123,68861.0,CC12CCC3=C4CCC(=O)C=C4CCC3C1CCC2(CC#N)O
DB00582,71616.0,CC(C1=NC=NC=C1F)C(CN2C=NC=N2)(C3=C(C=C(C=C3)F)F)O
DB00622,4474.0,CC1=C(C(C(=C(N1)C)C(=O)OCCN(C)CC2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OC
DB00193,33741.0,CN(C)CC1CCCCC1(C2=CC(=CC=C2)OC)O
DB05521,3010818.0,CCCC(C(=O)C(=O)NC1CC1)NC(=O)C2C3CCCC3CN2C(=O)C(C(C)(C)C)NC(=O)C(C4CCCCC4)NC(=O)C5=NC=CN=C5
DB09076,11519070.0,C1C[N+]2(CCC1(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)CCOCC5=CC=CC=C5
DB01029,3749.0,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5
DB01259,208908.0,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl
DB00864,445643.0,CC1CC(C2C(CC(C(O2)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C(CC(=O)C(C=C(C1)C)CC=C)O)C)C(=CC4CCC(C(C4)OC)O)C)O)C)OC)OC
DB09102,25154714.0,CC(C)C(C(=O)N1CCCC1C2=NC=C(N2)C3=CC=C(C=C3)C4=CC=C(C=C4)C5=CN=C(N5)C6CCCN6C(=O)C(C(C)C)NC(=O)OC)NC(=O)OC
DB05271,59227.0,CCCN(CCC1=CC=CS1)C2CCC3=C(C2)C=CC=C3O
DB00767,2342.0,CCN(CC)C(=O)C1CN2CCC3=CC(=C(C=C3C2CC1OC(=O)C)OC)OC
DB00752,5530.0,C1C(C1N)C2=CC=CC=C2
DB00628,2809.0,C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)C(=O)O
DB00653,24083.0,[O-]S(=O)(=O)[O-].[Mg+2]
DB08931,11304743.0,CN(C1=C(N=C(N=C1N)C2=NN(C3=C2C=CC=N3)CC4=CC=CC=C4F)N)C(=O)OC
DB04938,3036505.0,C1=CC=C(C=C1)C(=C(C2=CC=CC=C2)C3=CC=C(C=C3)OCCO)CCCl
DB00934,4011.0,CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24
DB00451,5819.0,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(C(=O)O)N
DB09407,5360315.0,[Mg+2].[Cl-].[Cl-]
DB00741,5754.0,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O
DB00960,4828.0,CC(C)NCC(COC1=CC=CC2=C1C=CN2)O
DB01119,3019.0,CC1=NS(=O)(=O)C2=C(N1)C=CC(=C2)Cl
DB00737,4034.0,CC1=CC(=CC=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl
DB06204,9838022.0,CCC(C1=CC(=CC=C1)O)C(C)CN(C)C
DB00195,2369.0,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O
DB00237,2479.0,CCC(C)C1(C(=O)NC(=O)NC1=O)CC
DB00798,3467.0,CC(C1CCC(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)NC
DB01163,36273.0,CC1(C(N2C(S1)C(C2=O)N=CN3CCCCCC3)C(=O)O)C
DB00648,4211.0,C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl
DB06789,169870.0,CCCCCC(=O)OC1(CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)C(=O)C
DB00273,5284627.0,CC1(OC2COC3(C(C2O1)OC(O3)(C)C)COS(=O)(=O)N)C
DB06282,1549000.0,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl
DB01558,2441.0,C1C(=O)NC2=C(C=C(C=C2)Br)C(=N1)C3=CC=CC=N3
DB00802,51263.0,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCN3C(=O)N(N=N3)CC)COC
DB00284,9811704.0,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC(C(CO)O)C(C(C=O)O)O)CO)O)O)NC3C=C(C(C(C3O)O)O)CO
